@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
49,'2023/12/21 03:08:46:240',1,0.00718,0.005538,0.060958,0.502146,-2.728304,0.493247,?
50,'2023/12/21 03:08:46:274',1,0.03994,0.003232,0.024194,0.505506,-2.72509,0.488739,?
51,'2023/12/21 03:08:46:307',1,0.043479,0.00483,0.048943,0.507019,-2.72535,0.484132,?
52,'2023/12/21 03:08:46:341',1,0.006549,0.007515,0.018071,0.509708,-2.726029,0.478845,?
53,'2023/12/21 03:08:46:374',1,-0.002102,0.001019,-0.06241,0.512845,-2.722894,0.473931,?
54,'2023/12/21 03:08:46:407',1,-0.013857,0.007204,-0.032028,0.513237,-2.720675,0.471222,?
55,'2023/12/21 03:08:46:442',1,-0.028892,0.01065,-0.031613,0.512725,-2.724107,0.470892,?
56,'2023/12/21 03:08:46:473',1,-0.01709,0.016741,-0.049628,0.511871,-2.727946,0.471619,?
57,'2023/12/21 03:08:46:507',1,-0.032367,0.001378,-0.005548,0.509355,-2.733961,0.473771,?
58,'2023/12/21 03:08:46:540',1,-0.027237,0.004779,0.025796,0.509511,-2.741542,0.47565,?
59,'2023/12/21 03:08:46:574',1,-0.013963,0.016352,-0.016261,0.512615,-2.747832,0.476603,?
60,'2023/12/21 03:08:46:607',1,-0.027583,0.003619,-0.037488,0.515867,-2.751181,0.478081,?
61,'2023/12/21 03:08:46:641',1,-0.01009,0.000893,0.004922,0.51833,-2.755796,0.480527,?
62,'2023/12/21 03:08:46:674',1,-0.010136,0.005771,-0.015323,0.522334,-2.764673,0.482671,?
63,'2023/12/21 03:08:46:707',1,-0.035932,-0.002223,-0.058508,0.523076,-2.77327,0.485683,?
64,'2023/12/21 03:08:46:740',1,-0.067519,-0.020162,0.011241,0.52104,-2.783717,0.491586,?
65,'2023/12/21 03:08:46:773',1,-0.05179,-0.000616,0.016117,0.519984,-2.804535,0.499019,?
66,'2023/12/21 03:08:46:807',1,-0.040931,-0.004785,-0.048596,0.516274,-2.823144,0.505641,?
67,'2023/12/21 03:08:46:841',1,-0.162359,0.027587,0.025725,0.514757,-2.840085,0.518092,?
68,'2023/12/21 03:08:46:874',1,0.037862,0.039799,-0.02409,0.517799,-2.857273,0.53295,?
69,'2023/12/21 03:08:46:907',1,0.060699,0.017429,0.009278,0.519942,-2.861187,0.537818,?
70,'2023/12/21 03:08:46:943',1,0.041026,0.031795,0.013249,0.52266,-2.863234,0.535002,?
71,'2023/12/21 03:08:46:974',1,0.004625,0.040051,0.021533,0.526822,-2.865327,0.529149,?
72,'2023/12/21 03:08:47:007',1,0.032753,0.02363,0.013402,0.536929,-2.855919,0.517858,?
73,'2023/12/21 03:08:47:041',1,-0.015439,0.01789,0.024637,0.548437,-2.84254,0.506524,?
74,'2023/12/21 03:08:47:074',1,0.022635,0.042537,0.020483,0.563315,-2.827059,0.495682,?
75,'2023/12/21 03:08:47:108',1,0.055736,0.027934,0.098582,0.582289,-2.805873,0.47735,?
76,'2023/12/21 03:08:47:140',1,-0.041371,0.012174,0.092444,0.602913,-2.79225,0.461154,?
77,'2023/12/21 03:08:47:175',1,-0.067922,0.00147,0.020847,0.627418,-2.790159,0.444632,?
78,'2023/12/21 03:08:47:207',1,-0.031345,0.007473,-0.037512,0.646101,-2.794131,0.435562,?
79,'2023/12/21 03:08:47:241',1,-0.013313,0.014259,-0.036318,0.659387,-2.796577,0.429162,?
80,'2023/12/21 03:08:47:274',1,-0.032967,0.038125,0.003928,0.668184,-2.79182,0.421364,?
81,'2023/12/21 03:08:47:307',1,-0.061239,0.044262,-0.059237,0.675654,-2.778202,0.413802,?
82,'2023/12/21 03:08:47:340',1,-0.050173,0.024571,-0.083476,0.676936,-2.758062,0.408214,?
83,'2023/12/21 03:08:47:374',1,-0.017666,0.026803,-0.07972,0.663566,-2.749616,0.4076,?
84,'2023/12/21 03:08:47:407',1,0.021584,0.039527,-0.136927,0.638111,-2.743499,0.405883,?
85,'2023/12/21 03:08:47:440',1,0.061115,0.047857,-0.057565,0.592843,-2.708246,0.392752,?
86,'2023/12/21 03:08:47:474',1,-0.237729,-0.186927,0.143376,0.556236,-2.686667,0.370291,?
87,'2023/12/21 03:08:47:508',1,-0.211336,-0.026781,0.126372,0.546497,-2.696272,0.368014,?
88,'2023/12/21 03:08:47:544',1,-0.037637,0.00926,0.061184,0.544747,-2.705368,0.369286,?
89,'2023/12/21 03:08:47:575',1,-0.073958,-0.006184,0.058617,0.539383,-2.73799,0.373114,?
90,'2023/12/21 03:08:47:607',1,-0.040349,0.02996,0.044799,0.531342,-2.793461,0.381146,?
91,'2023/12/21 03:08:47:641',1,0.001042,0.011365,-0.059945,0.522433,-2.839408,0.386466,?
92,'2023/12/21 03:08:47:674',1,-0.022484,-0.009858,0.029087,0.517617,-2.847022,0.386297,?
93,'2023/12/21 03:08:47:708',1,-0.005186,0.005969,0.071601,0.515797,-2.855378,0.387603,?
94,'2023/12/21 03:08:47:741',1,-0.023523,0.016176,0.057371,0.51173,-2.881926,0.390291,?
95,'2023/12/21 03:08:47:774',1,-0.024691,0.035829,0.015166,0.511292,-2.905337,0.393294,?
96,'2023/12/21 03:08:47:812',1,0.060061,0.050573,-0.021217,0.513433,-2.914042,0.394353,?
97,'2023/12/21 03:08:47:841',1,0.055455,0.060168,-0.03823,0.511766,-2.930269,0.392778,?
98,'2023/12/21 03:08:47:874',1,0.08869,0.092047,-0.08985,0.505168,-2.948604,0.386522,?
99,'2023/12/21 03:08:47:907',1,0.088686,0.09319,-0.106029,0.49791,-2.951967,0.374174,?
100,'2023/12/21 03:08:47:940',1,-0.034102,0.038907,-0.083464,0.485645,-2.94028,0.352655,?
101,'2023/12/21 03:08:47:974',1,-0.092182,-0.03206,0.004009,0.479514,-2.932491,0.344592,?
102,'2023/12/21 03:08:48:009',1,0.016484,0.016049,0.021671,0.479219,-2.911176,0.33141,?
103,'2023/12/21 03:08:48:041',1,-0.00002,-0.050688,0.085618,0.488879,-2.871272,0.305014,?
104,'2023/12/21 03:08:48:074',1,0.013429,-0.033476,0.079491,0.506732,-2.828198,0.275248,?
105,'2023/12/21 03:08:48:108',1,-0.041376,-0.059858,-0.052857,0.527358,-2.781247,0.235779,?
106,'2023/12/21 03:08:48:144',1,0.039759,-0.054575,0.003507,0.539572,-2.751872,0.207547,?
107,'2023/12/21 03:08:48:176',1,0.022447,-0.054216,-0.059834,0.542056,-2.743224,0.189538,?
108,'2023/12/21 03:08:48:207',1,-0.059878,-0.087433,-0.033273,0.535302,-2.750841,0.18238,?
109,'2023/12/21 03:08:48:241',1,-0.050191,-0.07131,-0.02512,0.522042,-2.773093,0.187588,?
110,'2023/12/21 03:08:48:274',1,-0.050707,-0.062093,0.00865,0.507528,-2.799492,0.197983,?
111,'2023/12/21 03:08:48:308',1,-0.02988,-0.017957,0.006651,0.492237,-2.828973,0.213543,?
112,'2023/12/21 03:08:48:340',1,-0.027214,-0.009089,0.009745,0.478164,-2.851194,0.229093,?
113,'2023/12/21 03:08:48:374',1,-0.01213,0.006348,-0.009488,0.467326,-2.865294,0.241101,?
114,'2023/12/21 03:08:48:407',1,-0.029605,-0.015233,0.022606,0.459473,-2.8827,0.254066,?
115,'2023/12/21 03:08:48:441',1,0.034765,0.012293,-0.079215,0.454712,-2.908054,0.267092,?
116,'2023/12/21 03:08:48:473',1,0.014289,0.007852,-0.090901,0.445391,-2.928382,0.27415,?
117,'2023/12/21 03:08:48:507',1,0.017122,-0.009075,-0.031211,0.436948,-2.93918,0.276953,?
118,'2023/12/21 03:08:48:541',1,-0.012881,-0.0232,0.002033,0.435506,-2.93836,0.275776,?
119,'2023/12/21 03:08:48:574',1,-0.025509,-0.030256,-0.015366,0.435128,-2.935709,0.274615,?
120,'2023/12/21 03:08:48:608',1,-0.026398,-0.034168,0.035221,0.433742,-2.931259,0.272155,?
121,'2023/12/21 03:08:48:641',1,-0.025067,-0.027348,0.037232,0.436265,-2.924855,0.271288,?
122,'2023/12/21 03:08:48:676',1,-0.01025,-0.017568,0.038324,0.439668,-2.918956,0.271724,?
123,'2023/12/21 03:08:48:707',1,0.062101,0.002636,0.022573,0.441339,-2.912534,0.270035,?
124,'2023/12/21 03:08:48:741',1,0.04532,-0.019188,0.028585,0.440694,-2.910642,0.267,?
125,'2023/12/21 03:08:48:773',1,0.025953,-0.020682,0.00796,0.439953,-2.908995,0.263364,?
126,'2023/12/21 03:08:48:807',1,0.000249,-0.028309,-0.000701,0.438978,-2.906098,0.259475,?
127,'2023/12/21 03:08:48:841',1,-0.01179,-0.035781,-0.023921,0.436944,-2.906153,0.256306,?
128,'2023/12/21 03:08:48:876',1,-0.019205,-0.0409,-0.012723,0.435741,-2.908017,0.254782,?
129,'2023/12/21 03:08:48:909',1,-0.038452,-0.046502,-0.077536,0.436396,-2.905285,0.253938,?
130,'2023/12/21 03:08:48:940',1,0.000956,-0.029893,-0.071684,0.434687,-2.90325,0.256274,?
131,'2023/12/21 03:08:48:974',1,0.013379,-0.022188,-0.031416,0.42889,-2.904568,0.260115,?
132,'2023/12/21 03:08:49:007',1,-0.015817,-0.040709,-0.022227,0.423715,-2.903816,0.263342,?
133,'2023/12/21 03:08:49:041',1,-0.013257,-0.056795,-0.037987,0.420416,-2.902596,0.267583,?
134,'2023/12/21 03:08:49:074',1,-0.026536,-0.087844,-0.034843,0.415027,-2.901947,0.274751,?
135,'2023/12/21 03:08:49:107',1,-0.062946,-0.112942,-0.008311,0.410199,-2.902363,0.285424,?
136,'2023/12/21 03:08:49:141',1,-0.10217,-0.118522,-0.021986,0.40751,-2.90329,0.297975,?
137,'2023/12/21 03:08:49:174',1,-0.110345,-0.097898,-0.043544,0.403966,-2.907598,0.318911,?
138,'2023/12/21 03:08:49:207',1,-0.11259,-0.072648,-0.033196,0.400531,-2.913684,0.345365,?
139,'2023/12/21 03:08:49:241',1,-0.134042,-0.053349,-0.046798,0.398887,-2.91809,0.371751,?
140,'2023/12/21 03:08:49:274',1,-0.070197,-0.026131,-0.032226,0.397889,-2.921425,0.406988,?
141,'2023/12/21 03:08:49:307',1,-0.05858,-0.012149,-0.02988,0.397547,-2.922774,0.440554,?
142,'2023/12/21 03:08:49:341',1,-0.084697,-0.016393,-0.023336,0.396288,-2.927863,0.471625,?
143,'2023/12/21 03:08:49:373',1,-0.037039,0.020951,-0.045765,0.396161,-2.932014,0.510251,?
144,'2023/12/21 03:08:49:407',1,0.036623,0.043609,-0.053623,0.394127,-2.922139,0.546248,?
145,'2023/12/21 03:08:49:441',1,0.004083,0.03041,0.041453,0.387871,-2.914153,0.576011,?
146,'2023/12/21 03:08:49:474',1,0.005878,0.008473,0.038145,0.381868,-2.915532,0.611006,?
147,'2023/12/21 03:08:49:506',1,-0.02679,0.026325,0.028363,0.374216,-2.920313,0.647582,?
148,'2023/12/21 03:08:49:541',1,0.02113,-0.012374,0.039743,0.370413,-2.921041,0.677298,?
149,'2023/12/21 03:08:49:573',1,-0.063998,-0.032359,0.017464,0.370369,-2.919551,0.709691,?
150,'2023/12/21 03:08:49:608',1,-0.052237,-0.010998,0.006459,0.370531,-2.923298,0.746609,?
151,'2023/12/21 03:08:49:640',1,-0.043577,-0.017605,-0.018254,0.370301,-2.926594,0.777744,?
152,'2023/12/21 03:08:49:674',1,-0.093852,0.01198,-0.012646,0.369988,-2.928928,0.816793,?
153,'2023/12/21 03:08:49:707',1,-0.056832,0.051873,-0.008256,0.36885,-2.93118,0.852214,?
154,'2023/12/21 03:08:49:741',1,-0.032765,0.057748,-0.033687,0.369063,-2.930991,0.891603,?
155,'2023/12/21 03:08:49:775',1,-0.054842,0.05056,-0.033423,0.3662,-2.931441,0.930918,?
156,'2023/12/21 03:08:49:807',1,-0.016689,0.049054,0.007224,0.362564,-2.929894,0.963466,?
157,'2023/12/21 03:08:49:841',1,-0.012269,0.012071,0.024402,0.362846,-2.923963,0.99897,?
158,'2023/12/21 03:08:49:874',1,-0.04306,0.005565,0.015554,0.362905,-2.920529,1.034712,?
159,'2023/12/21 03:08:49:908',1,-0.051372,-0.009387,0.020911,0.361095,-2.920076,1.067225,?
160,'2023/12/21 03:08:49:940',1,0.01106,-0.033321,0.099632,0.361429,-2.92273,1.106777,?
161,'2023/12/21 03:08:49:973',1,-0.02397,0.006247,0.091902,0.368586,-2.92607,1.144103,?
162,'2023/12/21 03:08:50:007',1,-0.062491,0.01845,0.039796,0.37876,-2.928901,1.176632,?
163,'2023/12/21 03:08:50:041',1,0.002442,0.040909,0.006905,0.393582,-2.929616,1.214204,?
164,'2023/12/21 03:08:50:073',1,-0.018978,0.065094,0.008086,0.409979,-2.928465,1.250095,?
165,'2023/12/21 03:08:50:107',1,-0.014183,0.023943,-0.004597,0.425155,-2.92993,1.283677,?
166,'2023/12/21 03:08:50:140',1,0.022525,0.044943,-0.067042,0.436327,-2.933425,1.321502,?
167,'2023/12/21 03:08:50:173',1,-0.085009,-0.007029,0.058848,0.435181,-2.950009,1.361537,?
168,'2023/12/21 03:08:50:207',1,0.000509,0.021874,0.061874,0.439227,-2.963201,1.396142,?
169,'2023/12/21 03:08:50:240',1,-0.097829,0.026947,0.066431,0.447681,-2.967576,1.430335,?
170,'2023/12/21 03:08:50:274',1,-0.136514,0.035512,0.009637,0.466238,-2.971414,1.468791,?
171,'2023/12/21 03:08:50:307',1,-0.040079,0.101053,-0.108288,0.479664,-2.971451,1.505065,?
172,'2023/12/21 03:08:50:341',1,-0.038647,0.118613,-0.062632,0.483844,-2.987916,1.54999,?
173,'2023/12/21 03:08:50:374',1,-0.093883,0.101466,-0.142838,0.464383,-3.035322,1.59769,?
174,'2023/12/21 03:08:50:407',1,-0.097254,0.090255,-0.097596,0.432014,-3.089475,1.640983,?
175,'2023/12/21 03:08:50:440',1,-0.02867,0.065701,-0.006049,0.390656,3.140043,1.682274,?
176,'2023/12/21 03:08:50:473',1,-0.09604,0.051998,-0.001482,0.354724,3.101357,1.717105,?
177,'2023/12/21 03:08:50:508',1,-0.01186,0.044895,0.044732,0.324292,3.073829,1.742423,?
178,'2023/12/21 03:08:50:540',1,-0.012457,0.036148,0.098442,0.301435,3.062711,1.763667,?
179,'2023/12/21 03:08:50:574',1,-0.014076,0.041761,0.116018,0.298876,3.084505,1.780245,?
180,'2023/12/21 03:08:50:607',1,0.059857,0.082435,0.178791,0.311429,3.117061,1.791158,?
181,'2023/12/21 03:08:50:641',1,0.046169,0.059384,0.073691,0.338793,-3.122603,1.795441,?
182,'2023/12/21 03:08:50:674',1,0.072627,0.082192,0.056471,0.35946,-3.086735,1.796226,?
183,'2023/12/21 03:08:50:707',1,0.137589,0.078705,0.093668,0.377559,-3.056048,1.79366,?
184,'2023/12/21 03:08:50:740',1,0.0485,0.061444,0.056645,0.389847,-3.040917,1.788103,?
185,'2023/12/21 03:08:50:773',1,0.093026,0.083818,0.058704,0.396791,-3.033239,1.782608,?
186,'2023/12/21 03:08:50:807',1,0.043721,0.076968,0.037223,0.40322,-3.025668,1.771993,?
187,'2023/12/21 03:08:50:840',1,0.00413,0.08802,0.031618,0.408174,-3.021094,1.763342,?
188,'2023/12/21 03:08:50:874',1,0.015548,0.101056,0.02794,0.410774,-3.016526,1.754804,?
189,'2023/12/21 03:08:50:907',1,0.007742,0.074377,0.035385,0.413631,-3.010717,1.744043,?
190,'2023/12/21 03:08:50:941',1,0.001128,0.071681,0.017578,0.412604,-3.010111,1.735065,?
191,'2023/12/21 03:08:50:974',1,0.004727,0.064918,0.044872,0.409455,-3.014824,1.728592,?
192,'2023/12/21 03:08:51:007',1,0.040182,0.081957,0.02822,0.409432,-3.019073,1.717543,?
193,'2023/12/21 03:08:51:041',1,-0.036653,0.08525,-0.003489,0.410194,-3.018101,1.701281,?
194,'2023/12/21 03:08:51:074',1,-0.001912,0.088985,0.012514,0.409359,-3.019675,1.686834,?
195,'2023/12/21 03:08:51:113',1,0.067007,0.109919,0.043478,0.406782,-3.021625,1.665022,?
196,'2023/12/21 03:08:51:142',1,-0.025839,0.104876,0.075172,0.405742,-3.021373,1.634467,?
197,'2023/12/21 03:08:51:174',1,-0.025389,0.091019,0.034158,0.40938,-3.016315,1.606753,?
198,'2023/12/21 03:08:51:207',1,0.023061,0.104525,-0.009994,0.414545,-3.003128,1.571216,?
199,'2023/12/21 03:08:51:241',1,-0.03688,0.068674,0.021292,0.41452,-2.991864,1.531627,?
200,'2023/12/21 03:08:51:273',1,-0.051069,0.073878,0.00724,0.414754,-2.985622,1.498513,?
201,'2023/12/21 03:08:51:307',1,0.00026,0.081305,-0.025971,0.4162,-2.97276,1.458805,?
202,'2023/12/21 03:08:51:340',1,-0.021533,0.053521,-0.01541,0.414552,-2.958835,1.415168,?
203,'2023/12/21 03:08:51:373',1,-0.069049,0.028185,-0.002029,0.409349,-2.955549,1.379591,?
204,'2023/12/21 03:08:51:407',1,-0.016045,0.042316,0.007673,0.403785,-2.952745,1.338846,?
205,'2023/12/21 03:08:51:440',1,-0.033096,0.006528,0.016518,0.400744,-2.944676,1.300255,?
206,'2023/12/21 03:08:51:474',1,-0.027673,0.028565,0.072958,0.398694,-2.935971,1.25536,?
207,'2023/12/21 03:08:51:508',1,-0.05082,0.031781,0.091166,0.403247,-2.924945,1.207081,?
208,'2023/12/21 03:08:51:541',1,-0.076238,0.045561,0.009027,0.410176,-2.912562,1.163827,?
209,'2023/12/21 03:08:51:573',1,-0.048251,0.058701,0.006166,0.415811,-2.901075,1.113166,?
210,'2023/12/21 03:08:51:607',1,-0.054843,0.07559,-0.044011,0.415791,-2.896696,1.061602,?
211,'2023/12/21 03:08:51:641',1,-0.068046,0.040575,-0.003627,0.413178,-2.896111,1.016906,?
212,'2023/12/21 03:08:51:673',1,-0.080477,0.044177,-0.062389,0.410248,-2.894984,0.96404,?
213,'2023/12/21 03:08:51:707',1,-0.057926,0.040975,-0.048123,0.403123,-2.891873,0.912381,?
214,'2023/12/21 03:08:51:741',1,-0.043233,0.036799,-0.02489,0.395527,-2.890063,0.866714,?
215,'2023/12/21 03:08:51:774',1,-0.086772,0.034022,0.007241,0.386071,-2.887275,0.812382,?
216,'2023/12/21 03:08:51:807',1,-0.058523,0.027958,0.024995,0.378006,-2.88273,0.757486,?
217,'2023/12/21 03:08:51:840',1,-0.091431,0.000617,0.047126,0.373514,-2.876542,0.709349,?
218,'2023/12/21 03:08:51:874',1,-0.053459,0.029833,0.033983,0.372182,-2.873533,0.65368,?
219,'2023/12/21 03:08:51:908',1,-0.060979,0.011151,-0.010147,0.370294,-2.867531,0.595647,?
220,'2023/12/21 03:08:51:940',1,-0.089612,-0.029261,0.017921,0.368373,-2.863142,0.546835,?
221,'2023/12/21 03:08:51:972',1,-0.083707,-0.051726,-0.008937,0.368123,-2.863527,0.493968,?
222,'2023/12/21 03:08:52:009',1,-0.09308,-0.058441,-0.061064,0.368694,-2.862942,0.450756,?
223,'2023/12/21 03:08:52:040',1,-0.100542,-0.069057,-0.103953,0.367636,-2.860677,0.405971,?
224,'2023/12/21 03:08:52:073',1,-0.105607,-0.090628,-0.051755,0.363523,-2.861418,0.367364,?
225,'2023/12/21 03:08:52:107',1,-0.095255,-0.078798,-0.076491,0.359646,-2.861934,0.333956,?
226,'2023/12/21 03:08:52:141',1,-0.078565,-0.070978,-0.086146,0.354833,-2.858812,0.308703,?
227,'2023/12/21 03:08:52:174',1,-0.090388,-0.090652,-0.007153,0.347336,-2.859386,0.28381,?
228,'2023/12/21 03:08:52:208',1,-0.060961,-0.076142,0.002897,0.343993,-2.862374,0.262899,?
229,'2023/12/21 03:08:52:240',1,-0.026837,-0.042611,-0.044914,0.343272,-2.86079,0.245729,?
230,'2023/12/21 03:08:52:274',1,-0.016935,-0.052377,-0.004058,0.343838,-2.856581,0.225752,?
231,'2023/12/21 03:08:52:307',1,-0.039053,-0.052853,-0.030072,0.345554,-2.854244,0.207171,?
232,'2023/12/21 03:08:52:341',1,-0.035963,-0.056456,-0.040334,0.345747,-2.852169,0.193285,?
233,'2023/12/21 03:08:52:373',1,-0.059115,-0.068263,-0.025398,0.345248,-2.850331,0.180388,?
234,'2023/12/21 03:08:52:408',1,-0.029971,-0.060808,-0.020064,0.345408,-2.84969,0.172359,?
235,'2023/12/21 03:08:52:441',1,-0.048149,-0.069335,-0.017669,0.345146,-2.849501,0.16515,?
236,'2023/12/21 03:08:52:473',1,-0.028639,-0.056193,-0.009866,0.344826,-2.849323,0.161015,?
237,'2023/12/21 03:08:52:512',1,-0.031407,-0.050612,0.006645,0.345536,-2.848762,0.158601,?
238,'2023/12/21 03:08:52:547',1,-0.048164,-0.039445,-0.008813,0.347415,-2.849273,0.157937,?
239,'2023/12/21 03:08:52:575',1,-0.01384,-0.023855,-0.013349,0.347589,-2.849499,0.159404,?
240,'2023/12/21 03:08:52:607',1,-0.022478,-0.023877,0.000456,0.346948,-2.850266,0.161266,?
241,'2023/12/21 03:08:52:641',1,-0.013912,-0.014122,0.013998,0.346613,-2.852327,0.165031,?
242,'2023/12/21 03:08:52:674',1,0.003487,-0.015503,0.022555,0.347335,-2.852702,0.16779,?
243,'2023/12/21 03:08:52:707',1,0.006274,-0.007274,0.005894,0.348735,-2.852812,0.169778,?
244,'2023/12/21 03:08:52:741',1,-0.010985,-0.007644,0.002451,0.348845,-2.854986,0.173008,?
245,'2023/12/21 03:08:52:775',1,-0.008423,-0.000818,0.000775,0.348899,-2.858163,0.176833,?
246,'2023/12/21 03:08:52:807',1,-0.01121,0.003688,-0.021243,0.348418,-2.859187,0.179748,?
247,'2023/12/21 03:08:52:840',1,-0.0072,0.003511,-0.008563,0.345941,-2.860819,0.183846,?
248,'2023/12/21 03:08:52:874',1,-0.012133,0.007155,-0.020365,0.342777,-2.862532,0.187519,?
249,'2023/12/21 03:08:52:907',1,-0.013883,0.004069,0.003467,0.340295,-2.864463,0.191197,?
250,'2023/12/21 03:08:52:941',1,-0.004078,-0.00233,-0.00022,0.338396,-2.865754,0.194823,?
